place_name,district,category,latitude,longitude,tags,activities,best_season,vibe,image_url,tripadvisor_place_id,tripadvisor_rating,tripadvisor_review_count,tripadvisor_description,review_1,review_2,review_3,review_4,tripadvisor_location,tripadvisor_thumbnail
Dal Lake,Srinagar,Lake,34.1137233,74.8700063,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/e/e1/Dal_Lake_Hazratbal_Srinagar.jpg,2437492,4.3,4337,,"1) Must visit Dal Lake, Permissible Ghats 5 to 9 are good one, but I wuld like to suggets Ghat No 5
2) Do negotiations always as initially they told you like 3K per person but will settle down at 700 INR per person (almost 100%) for almost 7 points (sight seeing points)
3) Enjoy Khawa tea, Maggi, Breakfast, shopping , photoshoot but always make clear settlement first before doing any of these activites
4) 1 hour trip is almost enjoyable
5)The calm waters, scenic beauty, and shikara ride experience make it one of the most memorable attractions in Kashmir.
6) Nothing bad, all good",An iconic place for Srinagar. One can enjoy in Shikra ride . But because of polluted water and rush of hawkers in the lake has made it miserable,"Dal lake is dirty, there are signs of decline like sunk/abandoned houseboats, but surrounding view of nature makes it worth visiting. What spoils the experience further is the harrowing experience with hawkers. The moment your shikara leave the shore hawkers in boats will come close (duly facilitated by your shikara guy) and force you to buy their overpriced & substandard goods. This continues till you complete your ride. Your taxi driver, shikara guy, hawkers & shop owners in the floating market are all hand-in-glove.","Dal Lake in Srinagar, Kashmir, is an iconic urban lake renowned for its serene beauty and vibrant houseboat culture.","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/64/3b/47/dal-lake.jpg
Nagin Lake,Srinagar,Lake,34.1156932,74.8294934,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.kashmir-tourism.com/img2/3.jpg,338344,4.4,1121,,We had a very wonderful experience  of boat shikar in the Nigeen lake . Faizal bhai had rowed our boat and he was literally very kind. Even the prices of boating was very reasonable. We were in the lake for atleast 1 hour without any crowd. The place is very peaceful without any sort of disturbances and just us in between the water. It can be said that this lake is best for seeking peace and a silent scenic view of lake and mountains.,"There view is very good , Excellent garden near by place ,Here local food is outstanding . Ambience really speechless ..",It is very amazing lake to visit. Water in this lake is clean as  compare to Dal lake One can enjoy stay in house boat  in this lake which are quite good. In this one can enjoy Shikara ride,"My houseboat Mascot houseboatd was on this lake, so I had shikara rides on this lake instead if dal lake. According to other reviews, nigeen lake is much cleaner than dal, it is very clean and the surrounding scenery is just beautiful,  especially when the sun is out. I believe the houseboats on nigeen cost more as well. But worth it. ","Srinagar, Kashmir, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b9/99/4d/nagin-lake.jpg
Wullar Lake,Bandipora,Lake,34.3502521,74.5419994,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/13/61/e0/wular-lake.jpg?w=1200&h=-1&s=1,,,,,,,,,,
Surinsar Lake,Jammu,Lake,32.7702338,75.0411006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/af/36/picnic-20190225-141339438.jpg?w=1200&h=1200&s=1,3732952,4,53,,Boating is not seen. But it's a big lake with fish feeding facility  You can go near the fishing spot and feed them. Food is available.,"The road to Surinsar is extremely dizzying. But totally worth it when you reach the lake. The locals were pleasant and helpful. The lake is quiet and beautiful. There are hardly any visitors. We saw ducks, heron, and turtles. There are schools of fish waiting to be fed. The locals sell fish food and feeding the fish was the most enjoyable activity for my kids.  There are small shops around that sell locally made food, Tea and of course all packed foods. Good place to picnic for a few hours. The locals also offer to take you boating in the lake where you can see more birds and turtles at close quarters.  ",View is amazing but no proper place to eat.ut must be maintained properly by the local authorities..washrooms are hell,"Yesterday I visited Surinsar with my wife, it is necessary to have more protection walls around the visual field so that the lake remains Neat and clean. Tourism at surinsar will be boosted due to cleanliness.
One more thing The language of the sailors here is not good, we are feeding flour to the fish of the shore, there were two bad khadi boats that were tied with rope, got on the boat for the main photography, he came near, probably the sailor, was carrying a Big sticks came and started giving street without thinking, if this continues, then in future also there will be a big loss in the tourism sector.
#J&kTourism #j&kgovernment #Surinsarlake","Jammu City, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/af/36/picnic-20190225-141339438.jpg
Mansar Lake,Samba,Lake,32.6972343,75.1449155,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/mansar-lake.jpg,1946204,4.3,61,,"Worth visiting. The wild life habitat is seen having only few animals. Fish feeding, camel rides, games for children are there. No entry fee. Car parking is chargeable. Food is available in plenty. One can take long walks around the lake ","Amazing panoramic views 
Pristine holy lake 
Ancient history connection 
Plenty of sea life and wildlife around 
Nice treks around",Mostly cloudy days. So beautiful  site here. In the bank of lake there are so many temple situated and mostly famous temple is SHES NAG MANSA.,"I went here yesterday with my family, but I didn't like seeing the mess all around. If the government sanctions money for renovation here, where does that money go?
A request for all visitors, please don't put your wastages in anywhere, always use dustwins there, its our lake, our responsibility to keep it neat and clean.
#J&k Government #Mansarlake #j&kTourism","Mansar, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a1/aa/ba/picnic-20190225-141121996.jpg
Pangong Lake,Leh,Lake,33.752491,78.668243,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://www.tourmyindia.com/socialimg/pangong-lake-ladakh.jpg,,,,,,,,,,
Tso Moriri Lake,Changthang,Lake,32.9128,78.31467,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://brownchinarkashmir.com/wp-content/uploads/2025/03/Tso-Moriri-Lake_brown_chinar_kashmir.jpg.webp,,,,,,,,,,
Tsokar Lake,Changthang,Lake,33.3333,78.006,"lake,water,nature,scenic","boating,sightseeing,photography,relaxation","Summer,Autumn",peaceful,https://upload.wikimedia.org/wikipedia/commons/5/5d/Tsokar.jpg,,,,,,,,,,
Amarnath Temple,Pahalgam,Temple,34.215692,75.50412,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://upload.wikimedia.org/wikipedia/commons/6/66/Cave_Temple_of_Lord_Amarnath.jpg,,,,,,,,,,
Raghunath Temple,Jammu,Temple,32.7317607,74.8584316,"hindu,pilgrimage,spiritual,temple,heritage","worship,sightseeing,prayer",All Season,spiritual,https://www.tourmyindia.com/states/jammu-kashmir/image/raghunath-temple.jpg,10584002,4.3,92,,"Last I went to Raghunath temple was more than 15 years ago and since than, it has changed a lot. Now there is no such army or police is stationed as earlier it was. I could not see pandits who were as good as goons this time. What I found, were genuine pandits for whom one really has respect. They performed Pooja really well, told history in detail. This time it was really a very good experience and will go again in future.
Jai Shri Ram",One of the very few temples of Lord Ram with more than 33000 idols. All dasavatharams depicted in full statues. No priest was demanding any money.,"A very divine temple and a must for those seeking spiritualism.
1, Main deity Shri Ram in the centre of the campus
2. Three sides have idols of over 100 deities and one should spend time to see all of them. Very well arranged. 
3. A very important Shiv Temple.
4. Fourth side has important temples with large and beautifully sculptured deities .  
5. Fourth side also has a Shiv Temple with a very large Shivling, got from the Narmada river. 

One should spend two to three hours at the temple for a total experience of divinity.  Have not found such well organised  and covering such a large number of deties temples elsewhere. 

We went in off season, so there was no rush at all. Temple is very spacious and very clean and very well maintained. However being in a market area there is no parking.  

Temple is at market level and there are no staircases. ","Raghunath mandir is a beautiful set of mandir with the main mandir of Prabhu Ram Mata Sita and Laxman ji. Mesmerized with the beautiful idols

Must visit place in Janmu snaking along raghunath bazaar. Pl maintain dress regulations of a sacred place..no shorts or fashion parade please. ","Jammu City, Jammu, India",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/58/35/de/nice-temple.jpg
